# imla_loan_map.tsv — 2009/2011 imla LOANWORD-SHAPE reform
# Rules per Uyghur_Imla_Qaidisi SS V.3 (hiatus) and SS IX.2.1-4
# (initial clusters), arbitrated word-by-word against the 2011
# izahliq lughiti and the 6-volume izahliq lughet.
# The dictionary outranks the rule prose. The example word-lists
# inside the qaidisi carry transcription noise and were NOT used.
# SEPARATE FROM era_map.tsv. ORDER: calque -> era -> imla_loan.
# 873 rules (769 + 95 on 2026-08-17 + 9 on 2026-08-18) | classes: {'B': 195, 'A3': 162, 'A': 193, 'F': 71, 'W': 18, 'A4': 82, 'A?': 26, 'A2': 17, 'SEED': 9}
# variant<TAB>standard
ستراتوسفېرا	ئىستراتوسفېرا
ستوئىتىسىزم	ئىستوئىتىسىزم
سىتراتېگىيە	ئىستراتېگىيە
سىتوياچىلىق	ئىستوياچىلىق
سىتىخىيەلىك	ئىستىخىيەلىك
سىتېخىيىلىك	ئىستىخىيەلىك
سىتېرىئولۇق	ئىستېرېئولۇق
سىتېرىيولۇق	ئىستېرېئولۇق
سىتېرېئولۇق	ئىستېرېئولۇق
سىپېنسېرىزم	ئىسپېنسېرىزم
سپازمىلىنىش	ئىسپازمىلىنىش
سپىنوزچىلىق	ئىسپىنوزچىلىق
شۋېتسارىيە	شىۋېيتسارىيە
شۋېيتسارىيە	شىۋېيتسارىيە
شىۋېتسارىيە	شىۋېيتسارىيە
فرىنولوگىيە	فىرېنولوگىيە
فۇنكسىئونال	فۇنكسىيونال
كاردىئوگراف	كاردىيوگراف
كرىستالدىكى	كىرىستالدىكى
كرىستاللىرى	كىرىستاللىرى
مۇداپىيەسىز	مۇداپىئەسىز
مۇددىيانامە	مۇددىئانامە
پاترىئارخال	پاترىيارخال
پتېروكارىيە	پىتېروكارىيە
پروتاكتىنىي	پىروتاكتىنىي
پروتوپلازما	پىروتوپلازما
پروپورتسىيە	پىروپورتسىيە
پروگراممىسى	پىروگراممىسى
پروگراممىغا	پىروگراممىغا
پروگرېسسىيە	پىروگرېسسىيە
پرىنسىپلىرى	پىرىنسىپلىرى
پرىنسىپىدىن	پىرىنسىپىدىن
پرۇدونچىلار	پىرۇدونچىلار
پرۇدونچىلىق	پىرۇدونچىلىق
پسىخولوگىيە	پىسخولوگىيە
پلاستىنكىسى	پىلاستىنكىسى
پلانتاتسىيە	پىلانتاتسىيە
پلاگېئوكلاز	پىلاگېئوكلاز
پىرەگماتىزم	پىراگماتىزم
پىسىخىكىلىق	پىسخىكىلىق
گرېنلاندىيە	گىرېنلاندىيە
ۋارىئاتسىيە	ۋارىياتسىيە
ۋارىئومېتىر	ۋارىيومېتىر
ئوبىسدىئان	ئوبىسدىيان
ئېفىئوپىيە	ئېفىيوپىيە
بىئوخىمىيە	بىيوخىمىيە
بىئوفىزىكا	بىيوفىزىكا
برازىلىيە	بىرازىلىيە
ترادىتسىيە	تىرادىتسىيە
ترامۋاينىڭ	تىرامۋاينىڭ
ترانسىپورت	تىرانسپورت
ترانسپورتى	تىرانسپورتى
تراپېتسىيە	تىراپېتسىيە
ترىخىنېللا	تىرىخىنېللا
تلاۋەتخانا	تىلاۋەتخانا
تىراللېبوس	تىراللىبۇس
تەبىيەتتىن	تەبىئەتتىن
تەبىيەتنىڭ	تەبىئەتنىڭ
خرىزوبېرىل	خىرىزوبېرىل
خىرىستىئان	خىرىستىيان
خەلقىيالەم	خەلقىئالەم
درامىلارنى	دىرامىلارنى
درامىچىلىق	دىرامىچىلىق
دىئافراگما	دىيافراگما
دىئاكرىتىك	دىياكرىتىك
دىئالېتىكا	دىيالېتىكا
دىئالېكتىك	دىيالېكتىك
دىئاگرامما	دىياگرامما
دىئاگنوزنى	دىياگنوزنى
دىئوپترىيە	دىيوپترىيە
راتسىئونال	راتسىيونال
رېئاكسىئون	رېئاكسىيون
ستاتىستىكا	ئىستاتىستىكا
ستراتېگىيە	ئىستراتېگىيە
سترېلكىلىق	ئىسترېلكىلىق
ستوياچىلىق	ئىستوياچىلىق
ستىخىيەلىك	ئىستىخىيەلىك
ستىلىستىكا	ئىستىلىستىكا
ستېخىيىلىك	ئىستىخىيەلىك
ستېرېئولۇق	ئىستېرېئولۇق
سكارلاتىنا	ئىسكارلاتىنا
سلكىنىشتىن	سىلكىنىشتىن
سىتوئىكلار	ئىستوئىكلار
سىتۇدىيەسى	ئىستۇدىيەسى
سپېنسېرىزم	ئىسپېنسېرىزم
فرونتىدىكى	فىرونتىدىكى
فىرۇئولىيا	فىرۇئولىيە
قمارۋازلىق	قىمارۋازلىق
كرىستالدىن	كىرىستالدىن
كرىستالدۇر	كىرىستالدۇر
كرىستالسىز	كىرىستالسىز
كرىستاللار	كىرىستاللار
كرىستاللىق	كىرىستاللىق
كرىستالنىڭ	كىرىستالنىڭ
كرىستالىدا	كىرىستالىدا
كلىنىكىلىق	كىلىنىكىلىق
مىسسىئونېر	مىسسىيونېر
مۇداپىيەچى	مۇداپىئەچى
مۇددىيادىن	مۇددىئادىن
نىئورگانىك	نېئورگانىك
نىيورگانىك	نېئورگانىك
پراكتىكانت	پىراكتىكانت
پراكتىكىسى	پىراكتىكىسى
پراگماتىزم	پىراگماتىزم
پروتېستانت	پىروتېستانت
پروزىچىلىق	پىروزىچىلىق
پرويېكسىيە	پىرويېكسىيە
پرىنسىپتىن	پىرىنسىپتىن
پرىنسىپسىز	پىرىنسىپسىز
پرىنسىپلار	پىرىنسىپلار
پرىنسىپلىق	پىرىنسىپلىق
پرىنسىپىدا	پىرىنسىپىدا
پرىنسىپىغا	پىرىنسىپىغا
پرىنسىپىنى	پىرىنسىپىنى
پرەگماتىزم	پىراگماتىزم
پسخولوگىيە	پىسخولوگىيە
پوتېنسىئال	پوتېنسىيال
پىئانىنوچى	پىيانىنوچى
پىئونېرلار	پىيونېرلار
پىئونېرلىق	پىيونېرلىق
گراژدانلىق	گىراژدانلىق
گلۇكوزىنىڭ	گىلۇكوزىنىڭ
ئاكسىئوما	ئاكسىيوما
براسېنىيە	بىراسېنىيە
برىتانىيە	بىرىتانىيە
بىئوسفېرا	بىيوسفېرا
تراللىبۇس	تىراللىبۇس
تراللېبوس	تىراللىبۇس
ترامۋايغا	تىرامۋايغا
ترانسپورت	تىرانسپورت
تراگېدىيە	تىراگېدىيە
تروپىكتىن	تىروپىكتىن
ترىلوگىيە	تىرىلوگىيە
ترىپتوفان	تىرىپتوفان
تەبىيەتنى	تەبىئەتنى
خرىستىئان	خىرىستىيان
خرىستىيان	خىرىستىيان
دراماتورگ	دىراماتورگ
دراماتىزم	دىراماتىزم
درامىدىكى	دىرامىدىكى
درامىسىدا	دىرامىسىدا
درامىسىنى	دىرامىسىنى
دومىنىئون	دومىنىيون
دىئاتومىت	دىياتومىت
دىئامېتىر	دىيامېتىر
دىئاپازون	دىياپازون
دىئاگونال	دىياگونال
رادىئاتور	رادىياتور
رادىئودىن	رادىيودىن
رادىئولۇق	رادىيولۇق
ستالىننىڭ	ئىستالىننىڭ
سترونتسىي	ئىسترونتسىي
سترېلكىسى	ئىسترېلكىسى
ستوئىكلار	ئىستوئىكلار
ستۇدىيەسى	ئىستۇدىيەسى
سلوۋېنىيە	سىلوۋېنىيە
سىتروۋېزم	ئىستروۋېزم
سىكومبىيە	ئىسكومبىيە
سپىروگىرا	ئىسپىروگىرا
فاسسىئولا	فاسسىيولا
فرانسىسكو	فىرانسىسكو
فرانسۇزچە	فىرانسۇزچە
فرانكفۇرت	فىرانكفۇرت
فرۇئولىيا	فىرۇئولىيە
فلاتچېئاد	فىلاتچېئاد
فلاگېللار	فىلاگېللار
قارىيۆرۈك	قارىئۆرۈك
قلايدىغان	قىلايدىغان
كرستاللىق	كىرىستاللىق
كروماگنون	كىروماگنون
كرىستالغا	كىرىستالغا
كسانتوفىل	كىسانتوفىل
كلادونىيە	كىلادونىيە
كلىنىكىدا	كىلىنىكىدا
ماتېرىئال	ماتېرىيال
مازارىئون	مازارىيون
مۇددىياسى	مۇددىئاسى
مۇراجىيەت	مۇراجىئەت
مېدالىئون	مېدالىيون
مېرىدىئان	مېرىدىيان
مېمورىئال	مېمورىيال
مەسىئونېر	مىسسىيونېر
مەسىيونېر	مىسسىيونېر
پروتوزوئا	پىروتوزوئا
پروتېئازا	پىروتېئازا
پروفېسسور	پىروفېسسور
پرومېتيۇس	پىرومېتيۇس
پرويېكتور	پىرويېكتور
پروپېللىر	پىروپېللىر
پروژېكتور	پىروژېكتور
پروگرامما	پىروگرامما
پروۋانسال	پىروۋانسال
پرىزمىدىن	پىرىزمىدىن
پرىكازچىك	پىرىكازچىك
پرىنسىپال	پىرىنسىپال
پرىنسىپتا	پىرىنسىپتا
پرىنسىپقا	پىرىنسىپقا
پرىنسىپنى	پىرىنسىپنى
پرېزىدېنت	پىرېزىدېنت
پلاتفورما	پىلاتفورما
پلاستانكا	پىلاستانكا
پلاستىنكا	پىلاستىنكا
چمىرلىماق	چىمىرلىماق
